Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2021-08-20,3260.15,3260.16,3307.6,3145.98,3157.24,1057469.0,102.44
2021-08-21,3231.14,3232.14,3312.85,3205.4,3260.15,1057469.0,-29.01
2021-08-22,3153.52,3155.39,3277.45,3121.35,3230.72,1057469.0,-77.62
2021-08-23,3339.5,3341.46,3382.55,3133.25,3153.71,1331857.0,185.98
2021-08-24,3216.37,3218.64,3363.85,3146.24,3339.5,1113589.0,-123.13
2021-08-25,3207.71,3209.0,3249.26,3078.89,3216.53,1191636.0,-8.66
2021-08-26,3118.24,3120.34,3252.9,3054.27,3207.71,1412293.0,-89.47
2021-08-27,3263.94,3264.84,3278.35,3060.81,3118.24,1102414.0,145.7
2021-08-28,3238.75,3240.48,3287.4,3211.94,3263.94,1102414.0,-25.19
2021-08-29,3238.87,3238.88,3292.7,3153.4,3239.44,1102436.0,0.12
2021-08-30,3341.0,3341.59,3356.2,3139.78,3206.05,1295467.0,102.13
2021-08-31,3390.74,3392.91,3478.5,3188.94,3339.83,1147395.0,49.74
2021-09-01,3728.72,3728.73,3797.6,3370.8,3392.18,1071582.0,337.98
2021-09-02,3808.01,3810.37,3845.0,3722.34,3730.3,968450.0,79.29
2021-09-03,3916.75,3918.32,4029.1,3709.64,3808.03,908451.0,108.74
2021-09-04,3880.75,3881.97,3971.9,3833.0,3916.75,908451.0,-36.0
2021-09-05,3922.46,3924.79,3968.75,3834.44,3879.46,908451.0,41.71
2021-09-06,3953.62,3955.2,3994.95,3866.52,3925.0,921140.0,31.16
2021-09-07,3415.01,3416.74,3976.4,3020.0,3952.66,910643.0,-538.61
2021-09-08,3471.25,3473.46,3549.95,3212.89,3421.3,1394121.0,56.24
2021-09-09,3430.64,3432.22,3570.35,3393.08,3471.29,1187079.0,-40.61
2021-09-10,3247.78,3249.77,3519.95,3208.93,3430.8,1180089.0,-182.86
2021-09-11,3294.87,3296.41,3350.4,3147.17,3251.15,1180089.0,47.09
2021-09-12,3404.71,3406.71,3475.0,3230.52,3294.36,1180089.0,109.84
2021-09-13,3289.2,3290.49,3448.5,3111.34,3404.71,1622623.0,-115.51
2021-09-14,3376.01,3377.06,3414.55,3263.93,3289.2,1074879.0,86.81
2021-09-15,3562.17,3562.51,3578.85,3332.12,3375.3,1130661.0,186.16
2021-09-16,3497.3,3498.6,3680.0,3483.01,3555.99,1319634.0,-64.87
2021-09-17,3374.91,3377.0,3599.75,3357.17,3496.73,1020820.0,-122.39
2021-09-18,3395.28,3397.56,3542.21,3348.89,3374.91,1020820.0,20.37
2021-09-19,3362.43,3363.0,3458.45,3301.55,3396.1,1020820.0,-32.85
2021-09-20,3017.88,3019.77,3375.69,2915.89,3362.25,1397647.0,-344.55
2021-09-21,2774.6,2774.65,3104.21,2748.99,3017.88,1524734.0,-243.28
2021-09-22,3026.65,3028.12,3091.05,2649.45,2764.76,1513002.0,252.05
2021-09-23,3141.05,3142.96,3175.0,3012.99,3027.09,1660543.0,114.4
2021-09-24,2931.31,2931.65,3164.02,2734.71,3141.05,2251370.0,-209.74
2021-09-25,2920.75,2923.13,2982.02,2803.94,2945.08,2251370.0,-10.56
2021-09-26,3037.57,3039.53,3076.3,2740.27,2920.77,2251370.0,116.82
2021-09-27,2953.96,2955.88,3166.46,2953.0,3037.85,3489358.0,-83.61
2021-09-28,2862.79,2863.54,3031.5,2803.18,2954.47,3196676.0,-91.17
2021-09-29,2820.62,2822.58,2952.4,2781.43,2862.23,3162158.0,-42.17
2021-09-30,2971.81,2973.08,3055.5,2797.5,2820.94,3271077.0,151.19
2021-10-01,3291.35,3293.29,3321.34,2962.84,2972.17,2852563.0,319.54
2021-10-02,3427.9,3428.59,3469.1,3258.93,3292.03,2852563.0,136.55
2021-10-03,3466.8,3466.85,3480.67,3344.38,3424.46,2852563.0,38.9
2021-10-04,3383.28,3384.92,3489.19,3269.64,3465.0,3581297.0,-83.52
2021-10-05,3525.5,3527.57,3537.9,3356.02,3383.55,2856458.0,142.22
2021-10-06,3561.08,3562.81,3631.19,3343.28,3525.5,1202127.0,35.58
2021-10-07,3624.57,3626.49,3647.7,3469.75,3561.47,1136085.0,63.49
2021-10-08,3555.4,3556.53,3674.8,3529.89,3625.15,889296.0,-69.17
2021-10-09,3579.17,3579.24,3636.75,3538.25,3554.56,889296.0,23.77
2021-10-10,3524.15,3525.03,3607.45,3482.22,3579.66,889296.0,-55.02
2021-10-11,3492.06,3492.84,3625.95,3371.47,3522.57,1056040.0,-32.09
2021-10-12,3477.81,3479.26,3549.0,3402.56,3501.51,1096555.0,-14.25
2021-10-13,3573.55,3575.11,3586.75,3411.22,3477.81,957958.0,95.74
2021-10-14,3763.94,3764.28,3825.91,3554.33,3573.55,910960.0,190.39
2021-10-15,3879.69,3881.7,3904.78,3734.03,3757.54,753907.0,115.75
2021-10-16,3831.9,3831.91,3968.99,3803.57,3882.14,753907.0,-47.79
2021-10-17,3804.31,3804.34,3918.7,3766.46,3831.49,753907.0,-27.59
2021-10-18,3731.84,3734.27,3894.15,3655.11,3804.0,1108466.0,-72.47
2021-10-19,3804.12,3805.99,3861.41,3711.97,3736.53,828619.0,72.28
2021-10-20,4108.07,4109.55,4137.47,3800.14,3804.74,754995.0,303.95
2021-10-21,4088.98,4091.3,4373.49,4009.82,4108.08,932901.0,-19.09
2021-10-22,3984.6,3984.61,4169.01,3888.88,4088.98,966549.0,-104.38
2021-10-23,4088.34,4089.17,4127.78,3929.0,3976.33,966549.0,103.74
2021-10-24,4024.13,4024.42,4186.24,3970.57,4088.03,966549.0,-64.21
2021-10-25,4179.08,4180.94,4235.86,3961.36,4028.9,1001386.0,154.95
2021-10-26,4262.46,4264.65,4296.99,4131.47,4181.06,771327.0,83.38
2021-10-27,3983.19,3983.62,4307.25,3940.02,4262.36,828911.0,-279.27
2021-10-28,4254.63,4254.78,4295.37,3893.16,3983.41,924845.0,271.44
2021-10-29,4402.89,4403.67,4459.99,4211.08,4254.63,941226.0,148.26
2021-10-30,4310.95,4312.43,4434.7,4236.6,4403.03,941226.0,-91.94
