Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2018-01-17,11387.79,11394.46,11791.49,9156.12,10711.36,56924.0,634.49
2018-01-18,11605.0,11606.0,12150.35,10693.0,11355.01,60460.0,217.21
2018-01-19,11350.0,11387.6,12050.0,11025.18,11639.03,59109.0,-255.0
2018-01-20,12903.01,12933.93,13046.85,11250.0,11350.0,54177.0,1553.01
2018-01-21,11451.99,11457.44,12971.17,11213.62,12920.31,44046.0,-1451.02
2018-01-22,10350.0,10358.0,11901.0,10028.42,11451.99,67187.0,-1101.99
2018-01-23,10980.59,10994.78,11400.01,9927.54,10350.0,60099.0,630.59
2018-01-24,11233.84,11233.85,11499.99,10488.13,11003.38,56644.0,253.25
2018-01-25,11245.8,11262.44,11736.4,10865.6,11204.47,54317.0,11.96
2018-01-26,10918.0,10925.97,11630.0,10263.18,11250.61,53986.0,-327.8
2018-01-27,11553.38,11560.68,11629.41,10771.69,10918.0,55210.0,635.38
2018-01-28,11642.56,11664.25,11989.1,11319.34,11546.92,44465.0,89.18
2018-01-29,11200.01,11213.98,11819.82,11020.85,11633.4,62521.0,-442.55
2018-01-30,10082.0,10098.38,11222.8,9745.0,11196.55,54215.0,-1118.01
2018-01-31,9969.99,9970.0,10323.99,9511.01,10082.0,59619.0,-112.01
2018-02-01,9086.59,9098.96,10189.48,8446.8,9961.81,58092.0,-883.4
2018-02-02,8561.81,8572.32,9126.54,7613.32,9090.0,59721.0,-524.78
2018-02-03,9145.85,9168.0,9483.46,8164.88,8561.81,57918.0,584.04
2018-02-04,8437.21,8469.92,9357.99,8187.19,9145.91,44527.0,-708.64
2018-02-05,7092.0,7100.0,8547.45,6567.76,8466.39,73073.0,-1345.21
2018-02-06,7799.01,7800.0,8142.3,5911.0,7102.85,62114.0,707.01
2018-02-07,8080.0,8090.32,8648.93,7210.63,7755.08,61525.0,280.99
2018-02-08,8174.88,8175.32,8635.1,7537.67,8084.72,58937.0,94.88
2018-02-09,8548.31,8551.53,8760.0,7753.32,8160.76,55413.0,373.43
2018-02-10,8273.76,8280.36,9090.79,8159.88,8540.21,52129.0,-274.55
2018-02-11,8202.96,8211.03,8601.67,7818.0,8277.34,43153.0,-70.8
2018-02-12,8833.93,8857.84,8915.19,8021.24,8211.37,63691.0,630.97
2018-02-13,8556.44,8559.37,8992.9,8360.1,8823.6,53567.0,-277.49
2018-02-14,9287.91,9311.63,9379.99,8461.38,8542.39,60110.0,731.47
2018-02-15,9868.25,9895.79,10240.0,9225.46,9287.92,60066.0,580.34
2018-02-16,10082.33,10090.21,10301.44,9707.32,9868.27,63551.0,214.08
2018-02-17,10863.0,10863.01,10901.19,10042.03,10082.33,62711.0,780.67
2018-02-18,10757.8,10779.74,11299.99,10152.73,10838.89,53177.0,-105.2
2018-02-19,11079.4,11085.17,11258.0,10303.07,10753.59,66516.0,321.6
2018-02-20,11706.54,11710.28,11748.18,11040.0,11064.07,49640.0,627.14
2018-02-21,10302.57,10303.8,11785.73,10242.5,11700.02,64199.0,-1403.97
2018-02-22,9933.5,9934.4,10932.43,9729.61,10273.01,64807.0,-369.07
2018-02-23,9920.64,9922.42,10405.9,9589.97,9921.19,65007.0,-12.86
2018-02-24,9510.0,9510.01,10540.53,9370.13,9920.64,53698.0,-410.64
2018-02-25,9367.24,9378.72,9879.97,9275.42,9499.33,49122.0,-142.76
2018-02-26,10373.34,10374.06,10460.02,9304.88,9370.76,72304.0,1006.1
2018-02-27,10744.6,10760.7,10850.0,10131.15,10378.52,52526.0,371.26
2018-02-28,10533.04,10537.86,11064.64,10363.49,10761.03,54526.0,-211.56
