Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
04-Apr-2016,418.75,419.41,419.83,416.03,418.51,"9,030",+0.41
03-Apr-2016,418.34,419.03,419.39,416.32,419.00,"6,428",-0.66
02-Apr-2016,419.00,419.35,419.97,416.00,416.17,"8,352",+2.83
01-Apr-2016,416.17,416.34,416.98,413.42,414.10,"8,297",+2.07
31-Mar-2016,414.10,414.66,416.82,412.72,413.60,"9,850",+1.30
30-Mar-2016,412.80,413.74,415.85,408.59,415.43,"11,056",-2.10
29-Mar-2016,414.90,415.95,424.24,407.22,422.03,"8,947",-6.92
28-Mar-2016,421.82,422.87,424.67,420.32,424.62,"11,468",-2.50
27-Mar-2016,424.32,425.00,427.00,415.70,416.41,"8,930",+7.72
26-Mar-2016,416.60,416.96,416.98,414.01,415.60,"10,308",+1.00
25-Mar-2016,415.60,415.70,416.92,412.22,415.15,"10,361",+0.45
24-Mar-2016,415.15,415.17,417.65,412.98,417.46,"10,385",-2.35
23-Mar-2016,417.50,417.94,418.98,413.72,416.33,"9,885",+1.21
22-Mar-2016,416.29,416.93,416.90,410.30,410.66,"11,670",+5.63
21-Mar-2016,410.66,411.40,411.48,406.50,410.62,"10,944",+0.04
20-Mar-2016,410.62,411.28,411.80,406.73,408.35,"8,676",+2.16
19-Mar-2016,408.46,408.62,409.31,404.06,407.50,"10,437",+0.96
18-Mar-2016,407.50,408.16,418.47,403.35,418.47,"11,167",-10.98
17-Mar-2016,418.48,418.49,418.99,415.60,416.46,"13,092",+2.02
16-Mar-2016,416.46,416.57,416.71,413.15,415.23,"12,129",+1.23
15-Mar-2016,415.23,415.81,417.00,412.15,414.83,"13,583",+0.51
14-Mar-2016,414.72,414.99,414.95,410.83,412.29,"14,748",+2.46
13-Mar-2016,412.26,413.04,416.56,409.70,409.72,"11,944",+2.55
12-Mar-2016,409.71,410.41,420.60,406.59,419.14,"11,821",-9.43
11-Mar-2016,419.14,420.07,421.90,415.10,415.90,"15,318",+3.24
